pop_id,component,region,type,size,cont_out,cont_in,cont_exc_out,cont_inh_out,cont_exc_in,cont_inh_in,elec_out,elec_in,elec_exc_out,elec_inh_out,elec_exc_in,elec_inh_in,total_out,total_in,inputs,exc_inputs,inh_inputs,cont_out_density,cont_in_density,elec_out_density,elec_in_density,input_density,exc_input_density,inh_input_density
M2a_bIR215_L4_BTC_4e26f3a393_0_0,bIR215_L4_BTC_4e26f3a393_0_0,M2a,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
S1a_bAC217_L23_BP_472b717f1f_0_0,bAC217_L23_BP_472b717f1f_0_0,S1a,inh,36,0,0,0,0,0,0,240,240,0,240,0,240,240,240,4,0,4,0.0,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M1a_bAC217_L5_MC_cc2a170ef6_0_0,bAC217_L5_MC_cc2a170ef6_0_0,M1a,inh,25,0,0,0,0,0,0,165,165,0,165,0,165,165,165,3,0,3,0.0,0.0,6.6,6.6,0.12,0.0,0.12
M1b_bAC217_L4_BP_8c9cdc6683_0_0,bAC217_L4_BP_8c9cdc6683_0_0,M1b,inh,21,172,0,0,172,0,0,132,132,0,132,0,132,304,132,2,0,2,8.19047619047619,0.0,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M1a_bIR215_L5_NBC_cb87ec754a_0_0,bIR215_L5_NBC_cb87ec754a_0_0,M1a,inh,25,187,0,0,187,0,0,165,165,0,165,0,165,352,165,3,0,3,7.48,0.0,6.6,6.6,0.12,0.0,0.12
M2b_bAC217_L4_MC_29457dde26_0_0,bAC217_L4_MC_29457dde26_0_0,M2b,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
S1b_bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,S1b,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M2a_bAC217_L5_DBC_4765d943f4_0_0,bAC217_L5_DBC_4765d943f4_0_0,M2a,inh,25,0,0,0,0,0,0,110,110,0,110,0,110,110,110,3,0,3,0.0,0.0,4.4,4.4,0.12,0.0,0.12
M2b_bIR215_L4_BTC_22df25e508_0_0,bIR215_L4_BTC_22df25e508_0_0,M2b,inh,21,0,0,0,0,0,0,88,88,0,88,0,88,88,88,2,0,2,0.0,0.0,4.190476190476191,4.190476190476191,0.09523809523809523,0.0,0.09523809523809523
M1a_bAC217_L23_BP_472b717f1f_0_0,bAC217_L23_BP_472b717f1f_0_0,M1a,inh,36,193,0,0,193,0,0,240,240,0,240,0,240,433,240,4,0,4,5.361111111111111,0.0,6.666666666666667,6.666666666666667,0.1111111111111111,0.0,0.1111111111111111
M2a_bAC217_L5_MC_cc2a170ef6_0_0,bAC217_L5_MC_cc2a170ef6_0_0,M2a,inh,25,0,205,0,0,36,169,110,110,0,110,0,110,110,315,3,0,3,0.0,8.2,4.4,4.4,0.12,0.0,0.12
S1b_bAC217_L4_BP_8c9cdc6683_0_0,bAC217_L4_BP_8c9cdc6683_0_0,S1b,inh,21,0,0,0,0,0,0,132,132,0,132,0,132,132,132,2,0,2,0.0,0.0,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M2a_bIR215_L5_NBC_cb87ec754a_0_0,bIR215_L5_NBC_cb87ec754a_0_0,M2a,inh,25,0,0,0,0,0,0,110,110,0,110,0,110,110,110,3,0,3,0.0,0.0,4.4,4.4,0.12,0.0,0.12
M1b_bAC217_L4_MC_29457dde26_0_0,bAC217_L4_MC_29457dde26_0_0,M1b,inh,21,0,178,0,0,178,0,132,132,0,132,0,132,132,310,2,0,2,0.0,8.476190476190476,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
S1a_bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,S1a,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M2b_bAC217_L5_BTC_9b82f426e5_0_0,bAC217_L5_BTC_9b82f426e5_0_0,M2b,inh,25,0,188,0,0,188,0,110,110,0,110,0,110,110,298,3,0,3,0.0,7.52,4.4,4.4,0.12,0.0,0.12
M1b_bIR215_L4_BTC_22df25e508_0_0,bIR215_L4_BTC_22df25e508_0_0,M1b,inh,21,158,174,0,158,174,0,132,132,0,132,0,132,290,306,2,0,2,7.523809523809524,8.285714285714286,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M2a_bAC217_L23_BP_472b717f1f_0_0,bAC217_L23_BP_472b717f1f_0_0,M2a,inh,36,0,0,0,0,0,0,160,160,0,160,0,160,160,160,4,0,4,0.0,0.0,4.444444444444445,4.444444444444445,0.1111111111111111,0.0,0.1111111111111111
M2b_bAC217_L5_MC_c135727743_0_0,bAC217_L5_MC_c135727743_0_0,M2b,inh,25,0,0,0,0,0,0,110,110,0,110,0,110,110,110,3,0,3,0.0,0.0,4.4,4.4,0.12,0.0,0.12
S1a_bAC217_L4_BP_8c9cdc6683_0_0,bAC217_L4_BP_8c9cdc6683_0_0,S1a,inh,21,166,0,0,166,0,0,132,132,0,132,0,132,298,132,2,0,2,7.904761904761905,0.0,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M2b_bIR215_L5_NBC_913c40083e_0_0,bIR215_L5_NBC_913c40083e_0_0,M2b,inh,25,170,0,0,170,0,0,110,110,0,110,0,110,280,110,3,0,3,6.8,0.0,4.4,4.4,0.12,0.0,0.12
S1b_bAC217_L4_MC_29457dde26_0_0,bAC217_L4_MC_29457dde26_0_0,S1b,inh,21,0,0,0,0,0,0,132,132,0,132,0,132,132,132,2,0,2,0.0,0.0,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M1a_bAC217_L6_MC_792eb41cce_0_0,bAC217_L6_MC_792eb41cce_0_0,M1a,inh,52,0,0,0,0,0,0,348,348,0,348,0,348,348,348,6,0,6,0.0,0.0,6.6923076923076925,6.6923076923076925,0.11538461538461539,0.0,0.11538461538461539
M1b_bAC217_L5_BTC_9b82f426e5_0_0,bAC217_L5_BTC_9b82f426e5_0_0,M1b,inh,25,352,370,0,352,370,0,165,165,0,165,0,165,517,535,3,0,3,14.08,14.8,6.6,6.6,0.12,0.0,0.12
S1b_bIR215_L4_BTC_22df25e508_0_0,bIR215_L4_BTC_22df25e508_0_0,S1b,inh,21,0,32,0,0,30,2,132,132,0,132,0,132,132,164,2,0,2,0.0,1.5238095238095237,6.285714285714286,6.285714285714286,0.09523809523809523,0.0,0.09523809523809523
M2b_bAC217_L23_BP_4652c9a7e1_0_0,bAC217_L23_BP_4652c9a7e1_0_0,M2b,inh,36,0,0,0,0,0,0,160,160,0,160,0,160,160,160,4,0,4,0.0,0.0,4.444444444444445,4.444444444444445,0.1111111111111111,0.0,0.1111111111111111
M1b_bAC217_L5_MC_c135727743_0_0,bAC217_L5_MC_c135727743_0_0,M1b,inh,25,189,168,0,189,0,168,165,165,0,165,0,165,354,333,3,0,3,7.56,6.72,6.6,6.6,0.12,0.0,0.12
